condition,mode,eigenvalue,eigenvalue_norm,above_numerical_floor
S7,5,15.46390870489096,0.0013622395434250722,True
S7,6,0.10923976597499441,9.623099293037855e-06,True
S7,7,1.7023799404886586e-08,1.4996527185483175e-12,True
S7,8,2.9742815021619565e-15,2.6200904007156135e-19,False
S7,9,4.1350508104654175e-32,3.642629968648411e-36,False
S7,10,1.5280921304576533e-48,1.346119901398343e-52,False
S7,11,7.29283715483009e-52,6.424372612163062e-56,False
S7,12,5.367535156841183e-66,4.728344418549718e-70,False
S7,13,0.0,0.0,False
S7,14,0.0,0.0,False
S7,15,0.0,0.0,False
S7,16,0.0,0.0,False
S8,1,9283.072400258789,1.0,True
S8,2,3505.260656091067,0.37759703953115237,True
S8,3,182.43864436691499,0.019652830065381054,True
S8,4,116.78442543573632,0.012580363526248127,True
S8,5,48.016421257558,0.005172470835864581,True
S8,6,4.308959078888774,0.0004641738093918832,True
S8,7,0.8624358880953696,9.290414325232744e-05,True
S8,8,0.00038391914635830133,4.1356905322379976e-08,True
S8,9,1.7747738235002468e-18,1.911838825528034e-22,False
S8,10,3.940293101682367e-31,4.244600205393768e-35,False
S8,11,2.3517527691606364e-33,2.5333776014663804e-37,False
S8,12,5.4122728622257814e-36,5.830260315620183e-40,False
S8,13,0.0,0.0,False
S8,14,0.0,0.0,False
S8,15,0.0,0.0,False
S8,16,0.0,0.0,False
S9,1,61546.918172284815,1.0,True
S9,2,34319.624385681724,0.5576172683352355,True
S9,3,8391.261842590953,0.13633926915888409,True
S9,4,127.78742630952627,0.002076260357209408,True
S9,5,51.24348629522231,0.0008325922372226553,True
S9,6,17.8999059803923,0.00029083350575387227,True
S9,7,1.1876602435700228,1.929682718223961e-05,True
S9,8,0.015041315335296242,2.443877903551878e-07,True
S9,9,1.4412000948447127e-05,2.3416283668508676e-10,True
S9,10,1.6454166628224345e-08,2.6734346928899226e-13,True
S9,11,6.802233736494886e-15,1.1052111037393906e-19,False
S9,12,3.411128157970536e-16,5.5423216292032e-21,False
S9,13,4.0321576504237343e-19,6.551355892648829e-24,False
S9,14,1.2107835418294403e-20,1.9672529149878183e-25,False
S9,15,6.247033808245799e-31,1.0150035117532335e-35,False
S9,16,0.0,0.0,False
S10,1,37808.339882903005,1.0,True
S10,2,6505.635216561974,0.1720687879105698,True
S10,3,96.46286250979955,0.002551364667387055,True
S10,4,30.466875406311388,0.0008058242044128619,True
S10,5,8.073802759844655,0.00021354555066025637,True
S10,6,2.8740695183898692,7.60168134144797e-05,True
S10,7,0.019909125795175134,5.265802692431379e-07,True
S10,8,2.675516213735366e-05,7.076523915151426e-10,True
S10,9,1.2669801146256555e-08,3.3510598945884586e-13,True
S10,10,1.6705450741397598e-15,4.418456560943008e-20,False
S10,11,1.2245634133644433e-15,3.238871151595294e-20,False
S10,12,5.599233320150105e-22,1.4809519110047166e-26,False
S10,13,4.447971699935262e-34,1.1764525270644434e-38,False
S10,14,0.0,0.0,False
S10,15,0.0,0.0,False
S10,16,0.0,0.0,False
S11,1,7699.759748095363,1.0,True
S11,2,1560.013292023492,0.20260545043751294,True
S11,3,131.481131448695,0.01707600441445184,True
S11,4,43.29069507402345,0.005622343617244938,True
S11,5,10.904904191605532,0.0014162655132587746,True
S11,6,0.3696415974748025,4.8006900158961226e-05,True
S11,7,0.01167315762289882,1.516041799328392e-06,True
S11,8,4.0422635526124646e-05,5.2498567291172585e-09,True
S11,9,1.2444192662071185e-34,1.6161793444463536e-38,False
S11,10,2.273374586736613e-47,2.952526651625672e-51,False
S11,11,2.760855216574355e-49,3.585638132744712e-53,False
S11,12,0.0,0.0,False
S11,13,0.0,0.0,False
S11,14,0.0,0.0,False
S11,15,0.0,0.0,False
S11,16,0.0,0.0,False
S12,1,11225065.658581534,1.0,True
S12,2,1527707.6420060007,0.13609788026835032,True
S12,3,60801.131180275996,0.0054165501592227825,True
S12,4,17470.53391642804,0.0015563858998964395,True
S12,5,10961.246493662724,0.000976497316546463,True
S12,6,1522.5112692186508,0.00013563495444275596,True
S12,7,987.3897290106681,8.7962935722858e-05,True
S12,8,328.23482730878436,2.9241238963965406e-05,True
S12,9,212.6890276193781,1.8947686729723302e-05,True
S12,10,29.26151015647237,2.6068008015705474e-06,True
S12,11,9.606608852865318,8.558176090062412e-07,True
S12,12,0.6885545055859084,6.134079982503356e-08,True
S12,13,7.599751838238937e-10,6.770340654915409e-17,False
S12,14,1.1351908366020833e-13,1.011299952383114e-20,False
S12,15,9.385589731739112e-26,8.361278247458493e-33,False
S12,16,0.0,0.0,False
